xcoord ycoord zcoord
-194.04 0.22 30.2
-203.32 1.93 20.08
-200.25 3.59 23.93
-205.88 3.58 14.82
-193.17 9.53 29.67
-206.59 4.75 12.24
-198.13 10.86 24.38
-194.7 14.42 26.54
-203.75 9.78 16.51
-200.11 16.36 18.09
-206.22 8.91 9.06
-202.39 15.86 13.52
-202.13 17.37 11.52
-205.72 11.48 7.34
-201.42 19.56 7.27
-206.71 7.37 2.37
-199.03 22.45 4.71
-203.69 15.38 2.84
-193.52 27.76 2.68
-200.4 19.64 0.58
-195.41 24.85 -0.93
-204.12 12.19 -1.35
-197.57 21.36 -4.07
-201.96 14.23 -4.56
-191.43 24.9 -8.45
-198.93 16.66 -7.57
-189.89 23.53 -11.8
-199.52 12.18 -10.22
-191.08 19.69 -14.76
-203.95 5.83 -7
-181.31 18.08 -23.91
-198.16 9.7 -13.51
-207.38 -0.27 0.5
-191.34 11.26 -19.46
-196.33 6.75 -16.53
-202.33 3.33 -10.37
-190.68 0.98 -22
-199.8 1.62 -13.77
-188.29 0.66 34.68
-191.09 4.46 32.25
-186.07 6.96 35.54
-196.23 5.6 27.78
-182.3 12.52 36.49
-188.33 10.15 33.21
-189.78 18.29 28.67
-184.57 23.68 28.95
-183.93 19.93 31.93
-193.92 21.58 21.86
-188.45 26.23 22.81
-193.29 24.83 18.67
-194.58 26.19 13.2
-196.32 25.09 10.41
-187.25 31.71 14.18
-194.23 27.54 7.25
-187.86 31.86 11.36
-188.06 31.96 7.59
-182.26 35.29 5.73
-188.29 31.55 3.2
-182.97 34.45 1.15
-189.61 29.8 -1.46
-185.84 31.5 -3.61
-192.37 25.49 -5.65
-172.7 35.48 -11.81
-183.3 28.99 -12.01
-176.45 31.59 -14.61
-195.65 18.06 -10.91
-184.03 23.38 -17.77
-193.84 14.24 -15.65
-188.59 17.76 -18.39
-183.95 19.04 -21.22
-184.15 10.62 -25.33
-187.38 12.39 -22.09
-187.88 5.92 -23.67
-193.25 4.68 -19.69
-175.53 2.27 -32.6
-182.08 1.02 -28.31
-180.29 3.01 39.41
-183.07 5.07 37.64
-176.71 8.6 40.34
-179.45 11.23 38.48
-184.39 15.39 34.09
-189.2 14.85 31.05
-179.75 19.66 35.07
-173.69 23.25 36.21
-179.72 25.04 31.28
-186.15 25.22 26.17
-179.22 28.5 28.58
-181.56 29.86 24.65
-184.57 30.39 20.88
-189.08 29.12 17.61
-181.96 33.41 18.12
-180.25 35.48 14.58
-176.5 37.87 11.36
-180.88 36.04 9.43
-175.05 39.04 6.21
-176.25 38.13 2.85
-171.27 40.29 0.75
-178.62 36.17 -1.22
-180.91 33.72 -5.8
-185.17 29.9 -8.11
-166.02 39.3 -11.01
-168.87 35.93 -14.81
-170.14 33.06 -18.26
-184.1 26.13 -14.88
-178.82 25.49 -20.19
-176.37 24.62 -22.72
-178.61 16.53 -26.82
-171.31 22.44 -28.24
-175.64 14.97 -29.39
-181.31 8.86 -27.81
-169.14 14.28 -33.81
-174.16 10.53 -32.05
-165.1 5.47 -38.6
-185.3 0.94 -26.14
-171.19 2.95 43.77
-175.15 4.97 41.79
-170.9 8.79 43.19
-172.06 12.74 41.61
-174.53 15.17 39.61
-168.74 18.56 41.03
-167.14 24.72 38.38
-171.33 20.82 38.76
-169.35 27.19 35.61
-176.62 24.53 33.59
-173.74 29.7 30.92
-173.04 32.66 27.82
-176.37 32.58 25.45
-177.91 33.99 21.83
-174.78 36.9 18.88
-173.91 38.37 15.4
-169.24 40.88 12.57
-170.39 40.81 8.89
-161.85 44.62 4.72
-167.93 42.05 5.22
-165.72 42.64 1.03
-174.55 37.69 -3.59
-174.22 36.65 -7.58
-178.41 32.93 -10.1
-162.37 39.4 -14.69
-163.82 36.57 -18.38
-164.56 33.63 -22.14
-176.89 29.4 -17.35
-169.17 28.7 -24.18
-174.29 22.87 -25.71
-166.25 24.6 -30.09
-165.2 20.97 -33.03
-170.76 18.09 -31.18
-162.59 12.81 -38.56
-167.06 10.56 -36.43
-171.53 6.69 -34.45
-160.64 7.51 -40.85
-169.27 2.29 -36.49
-164.19 -0.52 46.6
-167.63 3.03 45.25
-164.48 6.82 46.11
-167.27 10.04 44.47
-167.14 15.74 42.78
-163.49 14.61 44.64
-163.9 23.55 40.55
-160.11 27.99 39.1
-163.35 29.34 36.59
-170.51 29.38 32.8
-164.31 31.79 33.74
-166.13 33.96 30.53
-168.74 36.98 24.36
-171.19 36.94 22.26
-164.26 40.61 20.41
-168.23 39.94 18.2
-165.09 42.14 14.69
-163.49 43.64 9.28
-151.26 48.08 10.4
-157.01 46.43 7.9
-158.24 45.88 0.71
-161.87 43.94 -2.72
-161.39 43.21 -6.58
-167.85 39.91 -7.52
-157.11 41.1 -16.74
-158.62 38.02 -20.62
-154.4 38.45 -23.29
-171.17 30.16 -21.17
-161.03 30.15 -28.67
-166 28.66 -26.6
-160.43 26.76 -32.03
-159.33 23.66 -35.16
-153.87 19.93 -40.45
-163.73 17.55 -35.88
-152.63 15.05 -43.1
-155.7 8.99 -43.3
-151.3 8.75 -45.53
-162.04 0.64 -40.69
-156.51 1.93 49.21
-161.25 2.8 47.65
-159.17 7.09 47.98
-161.32 11.15 46.44
-157.8 14.92 46.56
-159.29 19 44.63
-162.44 20.25 42.79
-158.12 24.95 41.94
-154.3 29.81 40.18
-156.94 32.16 36.87
-158.24 34.5 33.91
-159.96 36.28 30.99
