Gene name	Crypt_mean	V1_mean	V2_mean	V3_mean	V4_mean	V5_mean	V6_mean	Crypt_SEM	V1_SEM	V2_SEM	V3_SEM	V4_SEM	V5_SEM	V6_SEM	p-value	q-value
Xkr4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm1992	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm37381	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rp1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rp1.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Sox17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm37323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Mrpl15	0.000130	0.000121	0.000077	0.000085	0.000051	0.000021	0.000007	0.000008	0.000007	0.000008	0.000015	0.000006	0.000005	0.000004	1.102000e-16	9.315615e-17
Lypla1	0.000146	0.000230	0.000303	0.000336	0.000320	0.000241	0.000133	0.000009	0.000010	0.000017	0.000031	0.000016	0.000019	0.000016	1.102000e-16	9.315615e-17
Gm37988	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	1.529211e-01	2.324723e-02
Tcea1	0.000071	0.000053	0.000038	0.000024	0.000028	0.000023	0.000011	0.000006	0.000004	0.000005	0.000007	0.000004	0.000005	0.000005	1.319885e-08	6.634943e-09
Rgs20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm16041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Atp6v1h	0.000016	0.000021	0.000018	0.000019	0.000013	0.000020	0.000017	0.000003	0.000003	0.000005	0.000007	0.000003	0.000006	0.000005	8.798800e-01	8.443761e-02
Oprk1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Npbwr1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rb1cc1	0.000027	0.000037	0.000050	0.000040	0.000041	0.000047	0.000044	0.000004	0.000004	0.000007	0.000013	0.000006	0.000008	0.000009	7.866989e-01	7.851237e-02
4732440D04Rik	0.000005	0.000008	0.000004	0.000005	0.000008	0.000008	0.000001	0.000001	0.000002	0.000002	0.000003	0.000003	0.000003	0.000001	3.613910e-01	4.578458e-02
Fam150a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
St18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.975961e-01	7.253829e-02
Pcmtd1	0.000027	0.000031	0.000034	0.000034	0.000028	0.000029	0.000030	0.000004	0.000004	0.000005	0.000009	0.000004	0.000006	0.000010	9.547275e-01	8.992016e-02
Gm26901	0.000005	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.357670e-02	6.570254e-03
Gm30414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Sntg1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rrs1	0.000043	0.000007	0.000002	0.000000	0.000003	0.000002	0.000002	0.000005	0.000002	0.000001	0.000000	0.000001	0.000002	0.000002	1.037694e-02	2.343805e-03
Adhfe1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
3110035E14Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
