aay	Ama	Ance	Antp	apt	Blimp-1	bmm	bowl	brk	Btk29A	bun	cad	CenG1A	CG10479	CG11208	CG14427	CG17724	CG17786	CG43394	CG8147	cnc	croc	Cyp310a1	D	dan	danr	Dfd	disco	Doc2	Doc3	dpn	edl	ems	erm	Esp	E(spl)m5-HLH	eve	exex	fj	fkh	ftz	gk	gt	h	hb	hkb	htl	Ilp4	ImpE2	ImpL2	ken	kni	knrl	Kr	lok	Mdr49	Mes2	MESR3	mfas	Nek2	NetA	noc	nub	numb	oc	odd	peb	prd	pxb	rau	rho	run	sna	srp	tkv	tll	toc	Traf4	trn	tsh	twi	zen	zen2	zfh1
0.116516	0.22419	0.03373	0.104307	0.673878	0.85657	0.469676	0.286151	0.320923	0.737946	0.381798	0.687297	0.233663	0.381811	0.361505	0.609916	0.253724	0.254912	0.093843	0.058766	0.921377	0.605678	0.339219	0.138697	0.156448	0.208473	0.238146	0.227558	0.256565	0.78742	0.103006	0.15012	0.191256	0.196404	0.264237	0.476448	0.02279	0.320591	0.117664	0.594566	0.038998	0.360116	0.19957	0.549831	0.079849	0.305527	0.145274	0.0412	0.467845	0.270913	0.177503	0.845587	0.456425	0.027406	0.127881	0.298158	0.287286	0.159641	0.22286	0.443556	0.125356	0.266378	0.25483	0.59793	0.131504	0.200337	0.24418	0.05825	0.464401	0.345198	0.316686	0.250317	0.111794	0.240833	0.353227	0.102896	0.153453	0.12936	0.087361	0.147089	0.225082	0.027564	0.297847	0.372422
0.11332	0.208761	0.044785	0.103447	0.74382	0.462554	0.570401	0.34524	0.320727	0.913163	0.40439	0.506107	0.396959	0.280377	0.387934	0.853094	0.185755	0.287737	0.098158	0.125432	0.651969	0.485412	0.40443	0.044165	0.119454	0.097316	0.268831	0.320451	0.196483	0.670256	0.091844	0.130715	0.178339	0.21607	0.401332	0.36019	0.026128	0.293545	0.190048	0.687082	0.037326	0.279296	0.105881	0.271741	0.103871	0.371182	0.17849	0.098845	0.877808	0.297817	0.249151	1.034689	0.617936	0.040977	0.189824	0.616076	0.398116	0.137903	0.321899	0.548428	0.144211	0.180692	0.204195	0.421376	0.12691	0.61119	0.250616	0.026934	0.606565	0.320105	0.366646	0.172003	0.221231	0.120429	0.268072	0.093506	0.206405	0.313327	0.230506	0.190749	0.440296	0.024157	0.455723	0.389489
0.092872	0.172598	0.036166	0.096985	0.838291	0.467538	0.478229	0.377768	0.297598	0.931254	0.462129	0.383478	0.392886	0.389087	0.39307	0.845314	0.227202	0.290641	0.097539	0.143273	0.779386	0.461949	0.372933	0.174438	0.116143	0.143959	0.282022	0.257261	0.230007	0.684984	0.068626	0.184325	0.192171	0.115667	0.349451	0.420827	0.021572	0.297391	0.168044	0.688592	0.044834	0.313368	0.114784	0.271741	0.078566	0.385519	0.162996	0.068279	0.76236	0.361615	0.193683	0.995677	0.534053	0.044551	0.174015	0.563534	0.374514	0.087937	0.333601	0.397458	0.156717	0.198137	0.212683	0.445464	0.148747	0.530632	0.167491	0.02529	0.379759	0.320733	0.349392	0.213728	0.159118	0.096322	0.315466	0.090488	0.196441	0.161869	0.102645	0.177968	0.347098	0.019817	0.598716	0.502384
0.101251	0.207963	0.066009	0.092872	0.597823	0.497481	0.479122	0.580058	0.334111	0.74634	0.419663	0.488773	0.460615	0.237475	0.400176	0.932765	0.200787	0.198082	0.084875	0.190943	0.653174	0.476821	0.381812	0.055577	0.162621	0.086031	0.271913	0.422515	0.222305	0.44065	0.082542	0.130715	0.133713	0.227406	0.295101	0.341599	0.023503	0.227984	0.190048	0.663613	0.02911	0.347955	0.08103	0.306298	0.100362	0.427986	0.174726	0.153789	1.015947	0.369562	0.264352	0.995296	0.662223	0.044073	0.161715	0.632792	0.388507	0.107701	0.262592	0.394615	0.120279	0.150122	0.189074	0.436319	0.195749	0.600369	0.340386	0.025614	0.505998	0.338122	0.374318	0.11772	0.296851	0.186735	0.211007	0.11008	0.205833	0.287976	0.382287	0.189138	0.542763	0.019013	0.570066	0.397117
0.127009	0.17644	0.084271	0.027938	0.621983	0.833522	0.680243	0.201147	0.359235	0.755608	0.456409	0.653538	0.231415	0.32994	0.398508	0.566317	0.286149	0.214385	0.171071	0.156408	0.951847	0.527079	0.296777	0.087794	0.16019	0.264262	0.277365	0.24186	0.271226	0.691349	0.106047	0.151267	0.165144	0.139711	0.332778	0.411263	0.022093	0.2787	0.173207	0.530383	0.035567	0.34949	0.176918	0.506221	0.096776	0.255054	0.132665	0.061691	0.51337	0.273662	0.155138	0.898179	0.474244	0.027128	0.123851	0.366461	0.347705	0.122811	0.328665	0.465578	0.12612	0.268435	0.189211	0.548133	0.084713	0.123179	0.444124	0.047994	0.872747	0.309776	0.306187	0.193707	0.106295	0.0546	0.447295	0.079012	0.152232	0.105062	0.109857	0.166762	0.25975	0.025874	0.349462	0.498263
0.128472	0.278907	0.066009	0.076158	0.597823	0.497481	0.468563	0.311903	0.334111	0.781285	0.517587	0.581361	0.498156	0.237475	0.402497	0.921774	0.200787	0.198082	0.088784	0.165137	0.566996	0.460263	0.381812	0.037834	0.162621	0.105201	0.261018	0.427821	0.179876	0.352225	0.09116	0.130715	0.163266	0.157278	0.385978	0.341599	0.019251	0.245812	0.221741	0.672164	0.031691	0.284472	0.080613	0.306298	0.110419	0.452909	0.175073	0.153789	1.092344	0.291547	0.302656	1.003889	0.670724	0.046254	0.198596	0.803223	0.47578	0.107701	0.390874	0.394615	0.099214	0.150122	0.183421	0.436319	0.183744	0.607894	0.326686	0.020887	0.428157	0.296334	0.341409	0.144964	0.290648	0.147204	0.245797	0.105309	0.223213	0.287976	0.382287	0.19566	0.57063	0.019588	0.570066	0.403437
0.125434	0.20472	0.066936	0.054685	0.723092	0.759814	0.539329	0.317423	0.252024	0.862493	0.435747	0.440612	0.325437	0.393406	0.421088	0.68952	0.271128	0.218179	0.114395	0.168293	0.913657	0.538667	0.243658	0.097643	0.123062	0.145878	0.223536	0.258937	0.187141	0.73007	0.084219	0.151267	0.130967	0.121398	0.3384	0.344536	0.023553	0.179696	0.164415	0.670006	0.048963	0.348658	0.134567	0.321197	0.092362	0.321011	0.224787	0.071247	0.835293	0.310563	0.192091	0.982338	0.601641	0.030909	0.126364	0.392395	0.402123	0.151542	0.382745	0.374628	0.123576	0.207984	0.213909	0.532738	0.107711	0.395925	0.273552	0.036984	0.5033	0.188455	0.303702	0.174278	0.190365	0.106084	0.292914	0.095786	0.195247	0.192128	0.119346	0.187042	0.351271	0.028051	0.462	0.441476
0.125316	0.197398	0.066936	0.047705	0.678419	0.759814	0.377704	0.317423	0.356944	0.853344	0.461991	0.608842	0.233274	0.4733	0.400643	0.470593	0.271128	0.222755	0.150593	0.167384	0.958847	0.544574	0.489502	0.085463	0.147358	0.333141	0.269652	0.333548	0.236831	0.752617	0.080815	0.178434	0.181686	0.13961	0.286457	0.367797	0.022076	0.160872	0.135445	0.56483	0.045096	0.353411	0.150203	0.35115	0.092169	0.313989	0.168023	0.065786	0.781879	0.326795	0.174799	0.954631	0.590075	0.034138	0.101102	0.301118	0.347705	0.139621	0.322789	0.374628	0.133076	0.336926	0.215492	0.57968	0.128896	0.227878	0.348672	0.04526	0.590869	0.290544	0.304804	0.164242	0.137222	0.086056	0.342025	0.097189	0.152306	0.1288	0.099813	0.182691	0.292666	0.032647	0.324023	0.571105
0.097122	0.22093	0.075279	0.058213	0.751528	0.723543	0.470335	0.319268	0.300246	0.81093	0.503852	0.607415	0.402355	0.350902	0.462982	0.934031	0.200787	0.18946	0.102069	0.172484	0.797536	0.487661	0.381812	0.071589	0.132776	0.12456	0.28569	0.365746	0.160156	0.462665	0.128156	0.191212	0.113093	0.169228	0.387151	0.370804	0.026825	0.305203	0.218344	0.662833	0.029486	0.308597	0.083587	0.427761	0.105789	0.38511	0.161161	0.123649	1.005231	0.376124	0.183398	1.112418	0.678426	0.041786	0.155075	0.727205	0.367706	0.12943	0.297805	0.425892	0.111715	0.235508	0.253036	0.434466	0.138718	0.630949	0.323451	0.02711	0.599059	0.256045	0.376978	0.203623	0.215941	0.12979	0.263736	0.098921	0.198739	0.268868	0.263963	0.206741	0.429547	0.018592	0.399797	0.473206
0.127801	0.220199	0.081807	0.037052	0.560372	0.534561	0.677358	0.261649	0.314079	0.952841	0.54019	0.619945	0.311999	0.420408	0.472303	0.79656	0.262359	0.189943	0.101384	0.186875	0.809895	0.39095	0.28783	0.096976	0.132776	0.208343	0.259443	0.456672	0.159912	0.556555	0.085166	0.110605	0.151817	0.188066	0.403721	0.395626	0.029857	0.38944	0.143373	0.653814	0.042168	0.290685	0.12562	0.323346	0.11898	0.346685	0.213939	0.081373	1.075758	0.288954	0.201413	1.061428	0.682051	0.042384	0.085779	0.440486	0.322249	0.175976	0.31825	0.432097	0.109892	0.324085	0.207743	0.52753	0.199618	0.503929	0.259582	0.029011	0.55648	0.380743	0.357952	0.186298	0.215043	0.086696	0.307919	0.107702	0.263115	0.240782	0.296459	0.158797	0.346388	0.025457	0.510477	0.47547
